Date,PrecioB,Demanda,DispTer,DispNoTer,VolUtil,Aportes,day_cls
01/01/2013 0:00,168.39165,5635708.86,4312666,8609000,11155025990,64981500,0
01/01/2013 1:00,168.39165,5398892.95,4245000,8609000,11155025990,64981500,0
01/01/2013 2:00,170.55065,5132168.81,4245000,8609000,11155025990,64981500,0
01/01/2013 3:00,150.55165,4886320.69,4241500,8609000,11155025990,64981500,0
01/01/2013 4:00,147.01865,4735282.07,4222000,8609000,11155025990,64981500,0
01/01/2013 5:00,145.05165,4600366.1,4220166,8609000,11155025990,64981500,0
01/01/2013 6:00,145.05165,4191281.5,4096000,8614533,11155025990,64981500,0
01/01/2013 7:00,145.05165,4238564.93,4096000,8609000,11155025990,64981500,0
01/01/2013 8:00,145.05165,4455524.76,4096000,8615750,11155025990,64981500,0
01/01/2013 9:00,145.05165,4670520.94,4095000,8660750,11155025990,64981500,0
01/01/2013 10:00,145.05165,4891528.89,4095000,8699000,11155025990,64981500,0
01/01/2013 11:00,150.55165,5062100.82,4095000,8699000,11155025990,64981500,0
01/01/2013 12:00,150.55165,5124511.15,4095000,8705916,11155025990,64981500,0
01/01/2013 13:00,170.55065,5082268.85,4174466,8624000,11155025990,64981500,0
01/01/2013 14:00,150.55165,4975531.06,4244000,8609000,11155025990,64981500,0
01/01/2013 15:00,147.01865,4902726.97,4244000,8609000,11155025990,64981500,0
01/01/2013 16:00,145.05165,4851355.24,4244000,8661500,11155025990,64981500,0
01/01/2013 17:00,147.01865,5011514.51,4244000,8699000,11155025990,64981500,0
01/01/2013 18:00,170.55065,6182094.65,4245000,8699000,11155025990,64981500,0
01/01/2013 19:00,210.55165,6575833.59,4245000,8699000,11155025990,64981500,0
01/01/2013 20:00,210.55165,6404620.48,4245000,8661500,11155025990,64981500,0
01/01/2013 21:00,170.55065,6030687.13,4245000,8615750,11155025990,64981500,0
01/01/2013 22:00,168.55165,5524625.21,4245000,8609000,11155025990,64981500,0
01/01/2013 23:00,170.55065,5075124.98,4245000,8607616,11155025990,64981500,0
02/01/2013 0:00,166.70694,4733353.34,4245000,8598000,11108789818,69612400,0
02/01/2013 1:00,166.70694,4558484.1,4245000,8598000,11108789818,69612400,0
02/01/2013 2:00,166.70694,4465636.32,4245000,8598000,11108789818,69612400,0
02/01/2013 3:00,166.70694,4423877.64,4236000,8598000,11108789818,69612400,0
02/01/2013 4:00,166.70694,4506324.62,4191000,8598000,11108789818,69612400,0
02/01/2013 5:00,196.00694,4746253.12,4191000,8598000,11108789818,69612400,0
02/01/2013 6:00,169.00694,4904013.89,4191000,8598000,11108789818,69612400,0
02/01/2013 7:00,169.00694,5432078.28,4191000,8598000,11108789818,69612400,0
02/01/2013 8:00,172.00694,6045954.36,4191000,8605500,11108789818,69612400,0
02/01/2013 9:00,172.00694,6426552.98,4190000,8649750,11108789818,69612400,0
02/01/2013 10:00,196.00694,6741931.56,4190000,8688000,11108789818,69612400,0
02/01/2013 11:00,210.00694,7046850.76,4244000,8688000,11108789818,69612400,0
02/01/2013 12:00,210.00694,7095826.7,4244000,8613750,11108789818,69612400,0
02/01/2013 13:00,210.00694,7052735.09,4244000,8598000,11108789818,69612400,0
02/01/2013 14:00,210.00694,7096677.6,4244000,8598000,11108789818,69612400,0
02/01/2013 15:00,210.00694,7083721.91,4244000,8598000,11108789818,69612400,0
02/01/2013 16:00,210.00694,6971104.19,4244000,8605500,11108789818,69612400,0
02/01/2013 17:00,196.00694,6961467.87,4244000,8650500,11108789818,69612400,0
02/01/2013 18:00,210.00694,7919680.47,4245000,8688000,11108789818,69612400,0
02/01/2013 19:00,210.00694,8160177.85,4245000,8688000,11108789818,69612400,0
02/01/2013 20:00,210.00694,7885390.47,4245000,8688000,11108789818,69612400,0
02/01/2013 21:00,210.00694,7284289.49,4245000,8651250,11108789818,69612400,0
02/01/2013 22:00,196.00694,6551408.98,4245000,8605500,11108789818,69612400,0
02/01/2013 23:00,172.00694,5772277.59,4245000,8598000,11108789818,69612400,0
03/01/2013 0:00,168.40108,5354919.55,4191000,8598733,11054608759,63955500,2
